FID,Name_commo,Easting,Northing,Elevation_minus_rebar_m,Easting_21,Northing_3,Elevation1,,dElev_1819,dDist_1819,NEAR_DIST,NEAR_ANGLE,slope,radiation,flowac3m_1
19,t2_0,442944.2524,7206602.408,106.7308125,442944.1392,7206602.568,106.954955,,0.224,0.196,0.196066123,143.6250237,12.3423004,4996.560059,457
18,t2_1,442843.8113,7206588.893,108.018142,442843.7842,7206588.877,108.011783,,-0.006,0.031,0.031482114,58.34465826,9.7795296,4907.620117,565
24,t2_11,443131.2802,7206759.096,133.107035,443131.2517,7206759.13,133.109625,,0.003,0.044,0.044380958,138.9370246,17.4454994,5083.040039,110
20,t2_12,443157.8682,7206638.752,99.357087,443157.7626,7206638.86,99.228519,,-0.129,0.151,0.151102005,134.5522605,13.4385004,4909.580078,159
25,t2_13,443282.5814,7206721.658,99.707037,443282.4285,7206721.738,99.897379,,0.19,0.173,0.172626472,116.5302356,17.2264004,4925.029785,175
21,t2_14,443271.7618,7206610.37,77.42171,443271.7512,7206610.476,77.455697,,0.034,0.107,0.10656711,173.2001221,9.5134497,4803.049805,196
15,t2_15,443233.7573,7206491.287,72.619234,443233.7554,7206491.224,72.648206,,0.029,0.063,0.063051377,0.637483527,4.0485201,4635.040039,321
10,t2_16,443232.9883,7206352.862,71.894793,443232.9379,7206352.867,71.862737,,-0.032,0.051,0.050665676,94.57565341,1.73953,4604.810059,544
7,t2_17,443204.0909,7206260.535,69.582908,443204.1494,7206260.514,69.62561,,0.043,0.062,0.062083318,-71.31239801,2.9159901,4687.669922,484
2,t2_18,443192.0101,7206139.989,64.784044,443191.9344,7206139.978,65.069637,,0.286,0.076,0.076522618,80.6415856,2.36659,4679.02002,9
1,t2_19,443037.7137,7206128.112,76.808728,443037.6025,7206128.089,76.817291,,0.009,0.114,0.113594614,77.22047468,6.1321502,4608.660156,193
23,t2_2,442797.6581,7206758.411,143.010649,442797.6193,7206758.429,143.103999,,0.093,0.043,0.042787354,113.7889583,12.3122997,4950.399902,1874
6,t2_20,443121.3456,7206286.671,73.979235,443121.3706,7206286.689,74.028917,,0.05,0.031,0.030816944,-126.8459163,3.67906,4681.069824,77
9,t2_21,443078.9896,7206388.471,79.224633,443078.9939,7206388.471,79.228079,,0.003,0.004,0.004301547,-91.092911,3.54442,4629.689941,134
14,t2_22,442954.1324,7206445.29,90.910862,442954.1437,7206445.3,90.903524,,-0.007,0.015,0.015094836,-132.6027096,6.2843599,4617.680176,2504
5,t2_23,442949.4679,7206290.255,90.764003,442949.4384,7206290.271,90.784431,,0.02,0.034,0.033571739,117.3788751,8.1540403,4625.689941,139
