,target_name,cluster,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,type,h_uncertainty,v_uncertainty,position_uncertainty,elevation_uncertainty
0,Target 1B,1a,443052.2509,7206594.143,99.986366,0.01277375,0.015074,0,443052.2502,7206594.079,99.84813325,99.84813325,1.13408775,-2.900854,104.8152313,104.8152313,64.97843,-166.2067135,104.8153173,104.8153173,0.00585,0.009779,443052.2403,7206594.209,100.0446175,64.978431,-166.2067135,105.0117995,0.01214625,0.01455275,lobe,0.008925,0.015925,0.01785,0.03185
1,Target 1F,1b,443060.9628,7206547.023,91.65908625,0.013685,0.0161685,0,443060.9708,7206546.869,91.4259555,91.4259555,1.13408,-2.900851,96.393653,96.393653,64.9780075,-166.2065095,96.393739,96.393739,0.00589,0.00586175,443060.9284,7206547.144,91.76813025,64.9780105,-166.2065103,96.73591,0.01167525,0.01391725,lobe,0.008925,0.015925,0.01785,0.03185
2,Target 1M,1b,443057.2351,7206555.344,93.25532275,0.01407475,0.01663475,0,443057.296,7206555.198,93.0351115,93.0351115,1.13408125,-2.900852,98.002696,98.002696,64.97808175,-166.2065908,98.002782,98.002782,0.00579375,0.00561475,443057.1887,7206555.459,93.2782725,64.97808425,-166.2065935,98.245939,0.011702,0.01394375,lobe,0.008925,0.015925,0.01785,0.03185
3,Target 1S,1a,443057.7264,7206574.511,96.74424225,0.01313,0.015459,0,443057.7129,7206574.451,96.6287435,96.6287435,1.1340845,-2.900852,101.5960968,101.5960968,64.97825475,-166.2065897,101.5961828,101.5961828,0.00615275,0.00754,443057.6865,7206574.577,96.79741725,64.978256,-166.2065902,101.7648548,0.01184275,0.01413875,lobe,0.008925,0.015925,0.01785,0.03185
4,Target 2B,2,443003.83,7206679.464,121.6322935,0.01306075,0.01536225,0,443003.8442,7206679.436,121.6469245,121.6469245,1.134101,-2.900873,126.6128538,126.6128538,64.9791875,-166.207773,126.6129398,126.6129398,0.00537475,0.006537,443003.8519,7206679.516,121.6918128,64.979188,-166.2077733,126.657827,0.0157275,0.0206565,lobe,0.008925,0.015925,0.01785,0.03185
5,Target 2F,2,443004.2309,7206655.235,115.876841,0.011907667,0.014138333,0,443004.2384,7206655.254,115.879519,115.879519,1.134097,-2.900872667,120.845739,120.845739,64.97897033,-166.207755,120.845825,120.845825,0.005696333,0.006780667,443004.2319,7206655.301,115.9326723,64.978971,-166.2077553,120.8989773,0.017337667,0.028267333,lobe,0.008925,0.015925,0.015458553,0.027582909
6,Target 3L,3,442854.9004,7206981.831,211.7721908,0.01452075,0.01859825,0,442854.9061,7206981.812,211.7601448,211.7601448,1.134148,-2.90093,216.7226488,216.7226488,64.98187425,-166.211051,216.7227348,216.7227348,0.00601475,0.007282,442854.8895,7206981.863,211.8042983,64.981875,-166.2110518,216.766888,0.02873425,0.04165725,lobe,0.008925,0.015925,0.01785,0.03185
7,Target 3M,3,442845.4782,7206979.617,211.064457,0.01486325,0.0188895,0,442845.4814,7206979.569,211.0370188,211.0370188,1.134147,-2.90093375,215.9995353,215.9995353,64.9818525,-166.21125,215.9996213,215.9996213,0.006334,0.0078155,442845.4977,7206979.652,211.1312368,64.9818535,-166.2112498,216.0938383,0.03220125,0.04719625,lobe,0.008925,0.015925,0.01785,0.03185
8,Target 3U,3,442837.517,7206986.471,213.0118045,0.01458575,0.018639,0,442837.5169,7206986.429,212.9883073,212.9883073,1.134148,-2.9009365,217.9507305,217.9507305,64.98191275,-166.2114215,217.9508165,217.9508165,0.00597125,0.007328,442837.5097,7206986.537,213.040848,64.981914,-166.2114218,218.0033558,0.0211685,0.03057025,lobe,0.008925,0.015925,0.01785,0.03185
9,Target 4L,4,442845.1241,7207013.479,219.9140458,0.0156745,0.02061,0,442845.0973,7207013.464,219.8926885,219.8926885,1.134153,-2.900934,224.8548005,224.8548005,64.9821565,-166.211272,224.8548865,224.8548865,0.006137,0.00771875,442845.1149,7207013.578,219.9428523,64.981875,-166.2110518,216.766888,0.02873425,0.04165725,lobe,0.008925,0.015925,0.01785,0.03185
