doy,Year,W,W far,flat
154,2017,0,0,0
166,2017,0.0061,0.0018,0.0004
178,2017,0.0086,0.0056,0.007
190,2017,0.0181,0.0082,0.0119
202,2017,0.0357,0.0227,0.0156
214,2017,0.0367,0.0321,0.0312
226,2017,0.0497,0.0311,0.0247
238,2017,0.0574,0.0317,0.0307
250,2017,0.0636,0.0341,0.0409
262,2017,0.0639,0.0374,0.0479
161,2018,0,0,0
173,2018,0.0089,0.0063,-0.0047
197,2018,0.0117,0.0127,-0.0005
209,2018,0.0206,0.0127,0.0052
221,2018,0.0288,0.0149,0.0105
233,2018,0.0308,0.0189,0.0094
245,2018,0.0466,0.021,0.017
257,2018,0.0559,0.0297,0.0303
269,2018,0.0677,0.0442,0.0455
156,2019,0,0,0
168,2019,0.005,0.0056,0.0056
180,2019,0.0203,0.0151,0.0151
192,2019,0.0312,0.0196,0.0196
204,2019,0.0362,0.0305,0.0305
216,2019,0.0377,0.0303,0.0303
228,2019,0.0532,0.0507,0.0507
240,2019,0.0728,0.0696,0.0696
252,2019,0.0942,0.0907,0.0907
