Name_common,target_name,point type,Name_common_year,Name_2018,Name_2019_x,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,Date_Obs_2018_y,Time_Obs_2018_y,Name_2019_y,Layer_2019,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Date_Obs_2019_y,Time_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,Date_Obs_2017,Time_Obs_2017,Name_2017
fglb3l_lr,Target 3L,lobe,fglb3l_lr_2018,fglb3_lower_br,fglb_4l_lr,442855.2947,7206981.799,211.786439,0.014684,0.01879,7/12/2018,2:14:16 PM,fglb3l_lr,Points,0,442854.7686,7206981.443,211.724831,211.724831,1.134148,-2.90093,216.687339,216.687339,64.981871,-166.211054,216.687425,216.687425,0.006186,0.007483,8/10/2019,6:49:07 PM,442855.0194,7206982.248,211.82761,64.981878,-166.211049,216.790195,0.02898,0.041936,6/28/2017,8:30:39 PM,tr47 fglb3l lr
fglb3l_ur,Target 3L,lobe,fglb3l_ur_2018,fglb3_lower_tr,fglb_4l_ur,442855.0222,7206982.211,211.791926,0.014293,0.018256,7/12/2018,2:14:57 PM,fglb3l_ur,Points,0,442855.2787,7206981.796,211.764062,211.764062,1.134148,-2.90093,216.726567,216.726567,64.981874,-166.211043,216.726653,216.726653,0.00605,0.007306,8/10/2019,6:50:19 PM,442855.2641,7206981.824,211.809291,64.981875,-166.211044,216.771882,0.036467,0.052909,6/28/2017,8:31:02 PM,tr47 fglb3l ur
fglb3l_ul,Target 3L,lobe,fglb3l_ul_2018,fglb3_lower_tl,fglb_4l_ul,442854.4976,7206981.851,211.785409,0.014116,0.01802,7/12/2018,2:15:38 PM,fglb3l_ul,Points,0,442855.0502,7206982.18,211.779055,211.779055,1.134148,-2.90093,216.741555,216.741555,64.981878,-166.211048,216.741641,216.741641,0.005936,0.007201,8/10/2019,6:51:14 PM,442854.7858,7206981.501,211.760985,64.981872,-166.211054,216.723579,0.033529,0.048743,6/28/2017,8:31:23 PM,tr47 fglb3l ul
fglb3l_ll,Target 3L,lobe,fglb3l_ll_2018,fglb3_lower_bl,fglb_4l_ll,442854.787,7206981.463,211.724989,0.01499,0.019327,7/12/2018,2:13:26 PM,fglb3l_ll,Points,0,442854.5269,7206981.829,211.772631,211.772631,1.134148,-2.90093,216.735134,216.735134,64.981874,-166.211059,216.73522,216.73522,0.005887,0.007138,8/10/2019,6:52:09 PM,442854.4886,7206981.877,211.819307,64.981875,-166.21106,216.781896,0.015961,0.023041,6/28/2017,8:30:20 PM,tr47 fglb3l ll
fglb4l_ur,Target 4L,lobe,fglb4l_ur_2018,fglb4_bottom_tr,fglb_unklow_ur,442845.4155,7207013.731,219.962401,0.015374,0.020255,7/12/2018,2:24:12 PM,fglb4l_ur,Points,0,442845.4031,7207013.717,219.949445,219.949445,1.134153,-2.900934,224.911554,224.911554,64.982159,-166.211266,224.91164,224.91164,0.006094,0.007553,8/10/2019,7:10:42 PM,442845.4115,7207013.856,219.978495,64.981878,-166.211049,216.790195,0.02898,0.041936,6/28/2017,8:30:39 PM,tr47 fglb4l ur
fglb4l_ul,Target 4L,lobe,fglb4l_ul_2018,fglb4_bottom_tl,fglb_unklow_ul,442844.7932,7207013.692,219.909629,0.015275,0.020144,7/12/2018,2:24:57 PM,fglb4l_ul,Points,0,442844.7751,7207013.678,219.889682,219.889682,1.134153,-2.900934,224.851792,224.851792,64.982158,-166.211279,224.851878,224.851878,0.00627,0.008065,8/10/2019,7:11:46 PM,442844.79,7207013.793,219.94555,64.981875,-166.21106,216.781896,0.015961,0.023041,6/28/2017,8:30:20 PM,tr47 fglb4l ul
fglb4l_lr,Target 4L,lobe,fglb4l_lr_2018,fglb4_bottom_br,fglb_unklow_lr,442845.4543,7207013.271,219.91894,0.015701,0.02064,7/12/2018,2:23:30 PM,fglb4l_lr,Points,0,442845.3988,7207013.234,219.893956,219.893956,1.134153,-2.900934,224.856071,224.856071,64.982155,-166.211265,224.856157,224.856157,0.006159,0.007655,8/10/2019,7:09:14 PM,442845.4371,7207013.357,219.94748,64.981875,-166.211044,216.771882,0.036467,0.052909,6/28/2017,8:31:02 PM,tr47 fglb4l lr
fglb4l_ll,Target 4L,lobe,fglb4l_ll_2018,fglb4_bottom_bl,fglb_unklow_ll,442844.8332,7207013.223,219.865213,0.016348,0.021401,7/12/2018,2:22:49 PM,fglb4l_ll,Points,0,442844.8121,7207013.226,219.837671,219.837671,1.134153,-2.900934,224.799785,224.799785,64.982154,-166.211278,224.799871,224.799871,0.006025,0.007602,8/10/2019,7:12:43 PM,442844.8208,7207013.305,219.899884,64.981872,-166.211054,216.723579,0.033529,0.048743,6/28/2017,8:31:23 PM,tr47 fglb4l ll
fglb3m_ll,Target 3M,lobe,fglb3m_ll_2018,fglb?_front_bl,fglb2f_ll,442845.4348,7206979.231,210.973078,0.015447,0.019582,7/12/2018,2:06:39 PM,fglb3m_ll,Points,0,442845.0997,7206979.537,211.007513,211.007513,1.134147,-2.900934,215.970029,215.970029,64.981852,-166.211258,215.970115,215.970115,0.00611,0.007454,8/10/2019,6:43:14 PM,442845.3968,7206979.274,211.041774,64.98185,-166.211252,216.00438,0.03014,0.044028,6/28/2017,8:32:17 PM,tr47 fglb3m ll
fglb3m_lr,Target 3M,lobe,fglb3m_lr_2018,fglb?_front_br,fglb2f_lr,442845.8704,7206979.656,211.106047,0.014761,0.018747,7/12/2018,2:07:22 PM,fglb3m_lr,Points,0,442845.4178,7206979.181,210.945512,210.945512,1.134147,-2.900934,215.908033,215.908033,64.981849,-166.211251,215.908119,215.908119,0.006539,0.00811,8/10/2019,6:39:50 PM,442845.9215,7206979.675,211.169887,64.981854,-166.211241,216.132489,0.032602,0.047737,6/28/2017,8:32:33 PM,tr47 fglb3m lr
fglb3m_ul,Target 3M,lobe,fglb3m_ul_2018,fglb?_front_tl,fglb2f_ul,442845.0707,7206979.587,211.045908,0.01486,0.018936,7/12/2018,2:08:48 PM,fglb3m_ul,Points,0,442845.5519,7206979.954,211.105543,211.105543,1.134147,-2.900934,216.068055,216.068055,64.981856,-166.211249,216.068141,216.068141,0.006314,0.007831,8/10/2019,6:42:20 PM,442845.1077,7206979.615,211.113153,64.981853,-166.211258,216.075754,0.029884,0.043927,6/28/2017,8:33:46 PM,tr47 fglb3m ul
fglb3m_ur,Target 3M,lobe,fglb3m_ur_2018,fglb?_front_tr,fglb_3m_ur,442845.5368,7206979.993,211.132795,0.014385,0.018293,7/12/2018,2:08:01 PM,fglb3m_ur,Points,0,442845.8563,7206979.604,211.089507,211.089507,1.134147,-2.900933,216.052024,216.052024,64.981853,-166.211242,216.05211,216.05211,0.006373,0.007867,8/10/2019,6:41:10 PM,442845.5647,7206980.044,211.200133,64.981857,-166.211248,216.16273,0.036179,0.053093,6/28/2017,8:33:27 PM,tr47 fglb3m ur
fglb3u_ll,Target 3U,lobe,fglb3u_ll_2018,fglb3_upper_bl,fglb_3u_ll,442837.2165,7206986.217,213.000683,0.015112,0.0193,7/12/2018,2:09:57 PM,fglb3u_ll,Points,0,442837.2417,7206986.174,212.984921,212.984921,1.134148,-2.900937,217.947347,217.947347,64.98191,-166.211427,217.947433,217.947433,0.005885,0.007267,8/10/2019,6:59:01 PM,442837.2208,7206986.298,213.022405,64.981912,-166.211428,217.984915,0.018536,0.026523,6/28/2017,8:35:31 PM,tr47 fglb3u ll
fglb3u_lr,Target 3U,lobe,fglb3u_lr_2018,fglb3_upper_br,fglb_3u_lr,442837.8391,7206986.259,212.96386,0.014616,0.018674,7/12/2018,2:10:42 PM,fglb3u_lr,Points,0,442837.8244,7206986.206,212.947258,212.947258,1.134148,-2.900936,217.909685,217.909685,64.981911,-166.211415,217.909771,217.909771,0.005893,0.007228,8/10/2019,6:58:06 PM,442837.822,7206986.313,213.008206,64.981912,-166.211415,217.970717,0.020325,0.029077,6/28/2017,8:35:14 PM,tr47 fglb3u lr
fglb3u_ul,Target 3U,lobe,fglb3u_ul_2018,fglb3_upper_tl,fglb_3u_ul,442837.1932,7206986.675,213.034067,0.014407,0.018425,7/12/2018,2:12:11 PM,fglb3u_ul,Points,0,442837.1956,7206986.652,213.000151,213.000151,1.134148,-2.900937,217.962571,217.962571,64.981915,-166.211428,217.962657,217.962657,0.006019,0.007368,8/10/2019,6:57:12 PM,442837.175,7206986.766,213.077839,64.981916,-166.211429,218.040343,0.023315,0.034489,6/28/2017,8:34:31 PM,tr47 fglb3u ul
fglb3u_ur,Target 3U,lobe,fglb3u_ur_2018,fglb3_upper_tr,fglb_3u_ur,442837.8192,7206986.734,213.048608,0.014208,0.018157,7/12/2018,2:11:22 PM,fglb3u_ur,Points,0,442837.8059,7206986.683,213.020899,213.020899,1.134148,-2.900936,217.983319,217.983319,64.981915,-166.211416,217.983405,217.983405,0.006088,0.007449,8/10/2019,6:55:59 PM,442837.8211,7206986.772,213.054942,64.981916,-166.211415,218.017448,0.022498,0.032192,6/28/2017,8:34:55 PM,tr47 fglb3u ur
bm3_cl,Target BM3,lobe,bm3_cl_2018,fglb?_bml,bm3_rl,442839.2294,7206972.234,208.25697,0.014851,0.018853,7/12/2018,2:19:03 PM,bm3_cl,Points,0.2032,442839.2083,7206972.191,208.295586,208.092386,1.134146,-2.900936,213.25818,213.05498,64.981785,-166.21138,213.258266,213.055066,0.006739,0.00782,8/10/2019,6:16:08 PM,442839.2205,7206972.325,208.237863,64.981787,-166.21138,213.200542,0.016798,0.023955,6/28/2017,8:38:42 PM,tr47 bm3 cl
